100   1.808   1.361   1.298	0.132   0.103   0.070
1100   21.004   1.838   1.703	0.421   0.082   0.080
2100   40.177   1.980   1.751	1.629   0.048   0.057
3100   62.110   2.245   1.870	1.272   0.088   0.038
4100   81.283   2.282   2.068	1.002   0.035   0.023
5100   101.589   2.370   2.160	2.169   0.055   0.047
6100   122.481   2.459   2.165	0.655   0.018   0.023
7100   140.899   2.479   2.252	4.378   0.015   0.025
8100   159.893   2.519   2.259	3.106   0.037   0.053
9100   183.683   2.556   2.336	2.500   0.045   0.027
10100   207.673   2.591   2.381	2.346   0.033   0.058
11100   225.138   2.607   2.351	2.018   0.025   0.026
12100   243.414   2.644   2.384	4.019   0.050   0.039
13100   268.701   2.688   2.434	5.601   0.064   0.038
14100   284.207   2.671   2.446	4.851   0.042   0.039
15100   302.223   2.760   2.448	4.456   0.060   0.024
16100   325.759   2.796   2.464	6.503   0.040   0.038
17100   353.773   2.865   2.520	5.276   0.043   0.040
18100   375.941   2.843   2.533	4.702   0.017   0.019
19100   394.495   2.923   2.553	6.115   0.047   0.041
20100   419.209   2.956   2.565	5.443   0.052   0.049
21100   434.727   2.964   2.562	7.653   0.080   0.047
22100   455.828   3.129   2.590	5.924   0.047   0.022
23100   482.658   3.050   2.590	8.964   0.041   0.030
24100   495.461   3.067   2.620	10.324   0.049   0.044
25100   517.906   3.082   2.653	9.820   0.061   0.025
26100   534.157   3.102   2.675	12.358   0.057   0.029
27100   568.642   3.126   2.707	9.603   0.033   0.018
28100   570.484   3.137   2.726	7.333   0.043   0.039
29100   603.264   3.176   2.758	9.799   0.049   0.042
30100   624.011   3.164   2.793	11.727   0.036   0.068
